,Str 0-1 (End),Turn 1,Str 1-2,Turn 2,Str 2-3,Turn 3,Str 3-4,Turn 4,Str 4-5,Turn 5,Str 5-6,Turn 6,Str 6-7,Turn 7,Str 7-8,Turn 8,Str 8-9,Turn 9,Str 9-10,Turn 10,Str 10-11,Turn 11,Str 11-12,Turn 12,Str 12-13,Turn 13,Str 0-1 (Start),Totals,[ARB_FRONT],[ARB_REAR],[DAMP_BUMP_HF],[DAMP_BUMP_HR],[DAMP_BUMP_LF],[DAMP_BUMP_LR],[DAMP_BUMP_RF],[DAMP_BUMP_RR],[DAMP_FAST_BUMP_HF],[DAMP_FAST_BUMP_HR],[DAMP_FAST_BUMP_LF],[DAMP_FAST_BUMP_LR],[DAMP_FAST_BUMP_RF],[DAMP_FAST_BUMP_RR],[DAMP_FAST_REBOUND_HF],[DAMP_FAST_REBOUND_HR],[DAMP_FAST_REBOUND_LF],[DAMP_FAST_REBOUND_LR],[DAMP_FAST_REBOUND_RF],[DAMP_FAST_REBOUND_RR],[DAMP_REBOUND_HF],[DAMP_REBOUND_HR],[DAMP_REBOUND_LF],[DAMP_REBOUND_LR],[DAMP_REBOUND_RF],[DAMP_REBOUND_RR],[DIFF_COAST],[DIFF_POWER],[DIFF_PRELOAD],[WING_1],[WING_2]
10,4.96,3.425,3.803,1.742,1.377,3.275,5.494,1.303,1.003,1.155,1.099,3.587,2.029,2.498,1.818,2.586,2.57,3.213,8.313,0.762,1.425,1.76,4.768,2.096,1.581,3.043,3.604,74.291,30.0,2.0,19.0,19.0,19.0,18.0,19.0,18.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,9.0,14.0,9.0,16.0,16.0,18.0,17.0,18.0,17.0,30.0,20.0,14.0,24.0,22.0
0,4.956,3.424,3.886,1.765,1.431,3.327,5.435,1.304,1.004,1.156,1.141,3.634,2.085,2.613,1.979,2.537,2.52,3.235,8.454,0.749,1.521,1.701,4.735,2.167,1.534,3.016,3.432,74.739,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
1,4.928,3.438,3.829,1.75,1.434,3.254,5.454,1.312,1.008,1.159,1.108,3.68,2.075,2.636,1.941,2.513,2.575,3.2,8.248,0.701,1.513,1.809,4.711,2.14,1.573,3.056,3.449,74.492,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
2,4.951,3.4,3.907,1.75,1.377,3.314,5.52,1.311,1.008,1.16,1.106,3.61,2.054,2.568,1.894,2.534,2.59,3.235,8.355,0.779,1.508,1.733,4.759,2.156,1.575,3.048,3.447,74.648,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
3,5.017,3.391,3.882,1.775,1.427,3.279,5.429,1.309,1.008,1.161,1.12,3.572,2.096,2.587,1.884,2.553,2.54,3.206,8.399,0.727,1.497,1.772,4.726,2.129,1.561,3.042,3.449,74.536,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
4,5.025,3.407,3.885,1.784,1.421,3.326,5.469,1.311,1.007,1.16,1.143,3.669,2.089,2.532,1.913,2.518,2.506,3.23,8.372,0.749,1.518,1.83,4.828,2.193,1.595,3.066,3.452,74.998,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
5,5.068,3.472,3.905,1.745,1.465,3.213,5.46,1.31,1.005,1.157,1.108,3.625,2.071,2.522,1.899,2.471,2.588,3.301,8.442,0.776,1.474,1.627,4.707,2.126,1.561,3.034,3.437,74.571,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
6,5.01,3.37,3.844,1.705,1.447,3.245,5.468,1.307,1.005,1.156,1.127,3.614,2.086,2.548,1.924,2.446,2.566,3.244,8.395,0.737,1.474,1.72,4.714,2.118,1.548,3.033,3.442,74.295,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
7,4.943,3.41,3.845,1.766,1.411,3.268,5.542,1.312,1.008,1.161,1.139,3.619,2.083,2.563,1.981,2.459,2.583,3.179,8.508,0.762,1.394,1.717,4.811,2.112,1.538,3.018,3.442,74.573,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
0,4.984,3.356,3.828,1.756,1.341,3.335,5.561,1.315,1.009,1.16,1.102,3.586,2.07,2.548,1.817,2.554,2.587,3.295,8.376,0.748,1.454,1.778,4.846,2.107,1.548,3.028,3.435,74.521,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
