,"ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE",Eclectic,Rolling Minimum
,"Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004",,
,"5/04/2023, PRACTICE","5/04/2023, PRACTICE","5/04/2023, PRACTICE","5/04/2023, PRACTICE","5/04/2023, PRACTICE",,
,"12:05:00 AM, Tires: Slick Medium (M) ","12:05:00 AM, Tires: Slick Medium (M) ","12:05:00 AM, Tires: Slick Medium (M) ","12:05:00 AM, Tires: Slick Medium (M) ","12:05:00 AM, Tires: Slick Medium (M) ",,
,Lap 1,Lap 2,Lap 3,Lap 5,Lap 6,,
Str 0-1 (End),5.076,4.985,4.928,5.022,4.982,4.928,4.928
Turn 1,3.603,3.480,3.476,3.466,3.428,3.428,3.476
Str 1-2,3.922,3.810,3.827,3.795,4.019,3.795,3.827
Turn 2,1.792,1.741,1.730,1.805,1.736,1.730,1.730
Str 2-3,1.513,1.451,1.411,1.478,1.414,1.411,1.411
Turn 3,3.353,3.363,3.338,3.278,3.291,3.278,3.338
Str 3-4,5.441,5.498,5.512,5.421,5.530,5.421,5.512
Turn 4,1.318,1.314,1.318,1.315,1.330,1.314,1.318
Str 4-5,1.015,1.013,1.015,1.014,1.021,1.013,1.015
Turn 5,1.170,1.168,1.170,1.173,1.175,1.168,1.170
Str 5-6,1.130,1.141,1.123,1.124,1.126,1.123,1.123
Turn 6,3.567,3.553,3.514,3.541,3.550,3.514,3.514
Str 6-7,2.070,2.057,2.039,2.048,2.092,2.039,2.039
Turn 7,2.497,2.543,2.513,2.506,2.557,2.497,2.513
Str 7-8,1.856,1.951,1.880,1.888,1.905,1.856,1.880
Turn 8,2.621,2.492,2.496,2.564,2.438,2.438,2.496
Str 8-9,2.581,2.580,2.565,2.516,2.627,2.516,2.565
Turn 9,3.282,3.253,3.200,3.191,3.195,3.191,3.200
Str 9-10,8.496,8.435,8.560,8.613,8.448,8.435,8.435
Turn 10,0.801,0.751,0.783,0.782,0.751,0.751,0.751
Str 10-11,1.473,1.451,1.477,1.485,1.428,1.428,1.451
Turn 11,1.720,1.703,1.656,1.750,1.797,1.656,1.703
Str 11-12,4.655,4.669,4.625,4.612,4.680,4.612,4.669
Turn 12,2.129,2.118,2.127,2.110,2.127,2.110,2.118
Str 12-13,1.554,1.541,1.573,1.550,1.551,1.541,1.541
Turn 13,3.042,3.024,3.055,3.039,3.043,3.024,3.024
Str 0-1 (Start),3.466,3.448,3.463,3.462,3.472,3.448,3.448
Totals,75.140,74.531,74.374,74.548,74.714,73.664,74.195
